Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts,age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight
2200,5.0,0.0,60.0,4,4,13.0,13.0,0,0,1,2,2,0,1,14,7,0.0,0.0,6.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,35.0,5.0,23.5,23.5,14.0,30.0,30.0,8.0,8.5,8.5,10.0,38.0,38.0,2.0,14,37,210,17,36,167,91,175,760,52,127,549,14,89,1950.0,2.2,54.0,1600.0,11.0,58.0,2200.0,9.6,53.0,2000.0,29.0,57.0
2200,2.0,8.0,59.0,1,4,14.0,57.0,0,1,1,0,1,1,3,6,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,29.5,2.0,34.5,35.0,8.0,35.5,36.0,2.0,30.0,30.5,8.0,32.5,33.5,1.0,52,95,417,51,95,349,166,229,883,132,214,833,23,128,2200.0,4.5,58.0,2000.0,5.1,56.5,1600.0,0.3,57.5,1600.0,4.8,58.5
2200,6.0,5.0,59.0,2,2,10.0,10.0,0,0,1,2,1,0,0,5,8,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,3.0,26.5,6.0,19.0,19.0,5.0,36.0,36.0,4.0,34.5,34.5,2.0,31.0,31.0,1.0,30,49,240,0,0,4,0,0,2,0,1,5,0,0,1950.0,6.7,69.5,3100.0,8.0,68.0,2100.0,1.0,56.0,2000.0,0.8,58.5
2200,8.0,0.0,58.5,2,3,11.0,16.0,2,1,6,1,1,0,1,7,6,0.0,0.0,5.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,18.5,8.0,25.5,25.5,10.0,10.0,10.0,11.0,10.0,10.0,15.0,23.0,23.5,8.0,11,18,120,0,0,2,3,4,18,0,0,4,0,0,1400.0,11.3,56.0,1580.0,6.2,56.5,2100.0,34.0,57.0,1600.0,25.0,57.5
2200,3.0,5.0,58.5,1,3,6.0,19.0,0,1,1,0,1,1,2,15,6,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,24.0,3.0,30.5,30.5,5.0,28.5,28.5,6.0,31.5,31.5,4.0,28.0,28.0,12.0,16,32,140,2,3,18,2,3,19,5,11,61,0,1,2200.0,6.0,55.5,1600.0,2.5,57.0,1600.0,4.3,56.0,1400.0,1.3,56.0
2200,8.0,9.0,58.0,2,3,18.0,27.0,0,0,0,1,0,1,2,9,4,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,30.0,8.0,33.0,33.0,9.0,31.5,33.0,7.0,37.0,38.5,1.0,32.5,34.5,2.0,59,128,644,2,8,24,15,30,99,12,23,94,0,4,1600.0,6.5,55.5,1600.0,4.3,55.0,2000.0,5.8,55.5,2000.0,2.5,57.0
2200,6.0,2.0,58.0,4,14,11.0,37.0,0,0,0,4,10,4,10,27,6,0.0,0.0,4.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,3.0,24.0,6.0,30.5,30.5,2.0,32.0,32.0,2.0,31.5,31.5,3.0,32.5,32.5,3.0,0,0,0,17,36,167,91,175,760,52,127,549,0,0,2200.0,7.3,67.0,1950.0,3.8,56.0,1950.0,2.0,56.0,2050.0,2.4,56.0
2200,2.0,1.0,57.5,1,4,8.0,31.0,1,0,1,0,3,0,4,11,3,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,39.5,2.0,29.5,30.0,1.0,15.0,15.5,11.0,28.5,29.0,3.0,26.0,26.5,3.0,0,0,0,4,7,28,11,24,74,11,15,92,0,0,2400.0,0.2,54.0,1950.0,0.2,66.0,2100.0,13.0,54.0,2100.0,0.5,54.5
2200,0.0,2.0,57.5,3,15,7.0,33.0,2,0,6,1,8,1,10,29,9,0.0,1.0,6.0,0.0,3.0,6.0,0.0,2.0,6.0,0.0,2.0,5.0,9.5,10.0,31.0,31.0,2.0,31.5,31.5,1.0,25.0,25.0,3.0,10.0,10.0,9.0,0,0,6,0,3,4,0,3,3,0,5,8,0,0,3000.0,19.5,65.0,3100.0,5.5,66.5,3100.0,1.3,68.0,3100.0,4.3,68.0
2200,7.0,6.0,56.5,1,5,4.0,19.0,0,1,5,1,5,1,1,12,5,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,33.5,7.0,22.0,22.0,6.0,30.5,30.5,6.0,16.5,16.5,14.0,30.5,30.5,8.0,8,17,197,0,3,8,0,1,6,0,3,26,0,0,2200.0,2.7,54.0,2200.0,17.4,53.0,2100.0,4.3,57.0,1600.0,17.0,54.0
