Meeting,Race Number,Race Name,Distance,Prize Money,Class,Apprentice Claim,Time,Date,Tab Number,Form,Last Finish pos,Last-1 Finish pos,Last-2 Finish pos,Last-3 Finish pos,Horse,BP,Weight,odds,Wrat,Trat,Starts,Wins,Places,win%,Place%,Class Change,Field Strength,Distance Change,Average Prizemoney,Days Since Last Start,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Distance Starts,Course/Dist Wins,Course/Dist Places,Course/Dist Starts,Firm Wins,Firm Places,Firm Starts,Good Wins,Good Places,Good Starts,Soft Wins,Soft Places,Soft Starts,Heavy Wins,Heavy Places,Heavy Starts,Wizard Panel,Wtime Panel,Best Form Panel,Recent Form Panel,Distance Panel,Class Panel,Consensus Panel,Consensus Points,Trainer, age,sex,Jockey,Allowance,Espd,Pace,Impact Form,Impact Fit,Impact Dist,ATPG Age,ATPG Trainer,RFS,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,5Up Wins,5Up Places,5Up Starts,6Up Wins,6Up Places,6Up Starts,7+Up Wins,7+Up Places,7+Up Starts,Cur RFS Wins,Cur RFS Places,Cur RFS Starts,Cur RFS Date1,Cur RFS Base1,Cur RFS WFA1,Cur RFS Date2,Cur RFS Base2,Cur RFS WFA2,Cur RFS Date3,Cur RFS Base3,Cur RFS WFA3,Cur Peak,Cur Peak Date,Last Peak,Last Peak Date,Prev Peak,Prev Peak Date,Dist Peak,Dist Peak Date,Wet Peak,Wet Peak Date,Win Distances,Sim Company Wins,Sim Company Places,Sim Company Starts,Strong Company Wins,Strong Company Places,Strong Company Starts,Last Base Rating,Last WFA Rating,Last Date,Last Finish Position,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Date,Last-1 Finish Position,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Date,Last-2 Finish Position,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Date,Last-3 Finish Position,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Date,Last-4 Finish Position,Last-5 Base Rating,Last-5 WFA Rating,Last-5 Date,Last-5 Finish Position,Last-6 Base Rating,Last-6 WFA Rating,Last-6 Date,Last-6 Finish Position,Last-7 Base Rating,Last-7 WFA Rating,Last-7 Date,Last-7 Finish Position,Last Win Base Rating,Last Win WFA Rating,Last Win Date,Last Win-1 Base Rating,Last Win-1 WFA Rating,Last Win-1 Date,Last Win-2 Base Rating,Last Win-2 WFA Rating,Last Win-2 Date,Last Win-3 Base Rating,Last Win-3 WFA Rating,Last Win-3 Date,Last Win-4 Base Rating,Last Win-4 WFA Rating,Last Win-4 Date,Last Win-5 Base Rating,Last Win-5 WFA Rating,Last Win-5 Date,Joc Loc12m Wins,Joc Loc12m Places,Joc Loc12m Starts,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Joc/Horse Wins,Joc/Horse Places,Joc/Horse Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Places,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Last Crse,Last Class,Last-1 Crse,Last-1 Class,Last-2 Crse,Last-2 Class,Last-3 Crse,Last-3 Class,Sire,Dam,G Sire,Trainer Location,Course Peak,Course Peak Date,Last SP,Last-1 SP,Last-2 SP,Last-3 SP,Scratched,Last Win Dte,Last Win Days,Last-1 Win Date,Last-1 WinDays,Last-2 Win Date,Last-2 Win Days,Last-3 Win Date,Last-3 WinDays,Last-4 Win Date,Last-4 Win Days,Last-5 Win Date,Last-5 WinDays,1Fav Wins,1Fav Places,1Fav Starts,2Fav Wins,2Fav Places,2Fav Starts,3-5Fav Wins,3-5Fav Places,3-5Fav Starts,6+Fav Wins,6+Fav Places,6+Fav Starts,Last-4 Weight,Last-5 Weight,Last-6 Weight,Last-7 Weight,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,1,'   x,,,,,ASTERIDE,5,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,R & L PRICE,2,F,Brock Ryan,,na,na,na,na,na,A,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,26,126,39,69,324,0,0,0,5,11,70,19,48,194,41,79,374,13,23,60,,,,,,,,,,,,,,,,,,,,,ASTERN,ESSIE'S PRIDE,MURTAJILL,KEMBLA GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,2,'   x,,,,,BETTA BEING SINGLE,7,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,G WATERHOUSE & A BOTT,2,F,Tim Clark,,na,na,na,na,na,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,83,357,81,133,522,0,0,0,111,128,540,348,507,1974,188,210,861,35,46,162,,,,,,,,,,,,,,,,,,,,,BETTER THAN READY,NOT A SINGLE WOMAN,NOT A SINGLE DOUBT,RANDWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,3,'   x,,,,,GAI'S ARTIST,2,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,G RYAN & S ALEXIOU,2,F,Tyler Schiller,,na,na,na,na,na,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,130,584,125,246,1045,0,0,0,25,63,228,88,171,607,69,128,475,3,8,31,,,,,,,,,,,,,,,,,,,,,SNITZEL,TREPPES,DOMESDAY,ROSEHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,4,'   x,,,,,HELL'S VIXEN,3,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,M C CONNERS,2,F,J. R. Collett,,na,na,na,na,na,A,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,124,497,102,201,763,0,0,0,3,5,42,12,19,112,10,21,136,0,1,5,,,,,,,,,,,,,,,,,,,,,HELLBENT,MALMOOSA,FOXWEDGE,WARWICK FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,5,'   x,,,,,PETAWAWA,4,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,R & L PRICE,2,F,Tommy Berry,,na,na,na,na,na,A,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,35,155,23,55,209,0,0,0,5,11,70,19,48,194,41,79,374,0,1,2,,,,,,,,,,,,,,,,,,,,,WRITTEN TYCOON,SHESEES EVERYTHING,STAR WITNESS,KEMBLA GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,6,'   x,,,,,SERIAL OFFENDER,,56.0,,,,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MATTHEW DALE,2,F,,,na,na,na,na,na,A,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,14,79,39,70,294,34,59,257,0,0,0,,,,,,,,,,,,,,,,,,,,,BETTER THAN READY,SERIAL,SEPOY,GOULBURN,,,,,,,Scratched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,1,DRINKWISE MAIDEN PLATE,1000,"60,000",2F-MSW,Claim,02.00 pm,25/10/2023,7,'   x,,,,,SWEET TREATS,6,56.0,1.00,00,00,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DANIELLE SEIB,2,F,Jean Van Overmeire,,na,na,na,na,na,A,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,92,70,101,556,0,0,0,4,5,44,6,11,58,26,31,176,3,5,21,,,,,,,,,,,,,,,,,,,,,CASTELVECCHIO,COCONUT DREAM,DENMAN,GOULBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDWICK INS,2,VALE BETTY LANE HOLLAND MDN PLATE,1300,"100,000",3Y-MSW,Claim,02.35 pm,25/10/2023,1,'0x53,3,5,0,,ARMED FORCES,,57.0,,,,5,0,2,0,40,,,,15375,26,0,0,0,0,2,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,1,2,1,1,1,1,,,C J WALLER,3,C,,,M3,M4,1.29,1.17,1.05,A,A,3,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27/05/2023,32.5,36.0,,,,,,,41.0,29/09/23,43.5,13/05/23,,,43.5,13/05/23,30.0,29/04/23,,0,0,0,0,2,5,40.5,41.0,29/09/2023,3,38.5,39.0,09/09/2023,5,32.5,36.0,27/05/2023,12,39.5,43.5,13/05/2023,2,25.5,30.0,29/04/2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,138,256,1302,907,1652,6144,284,481,2322,0,0,0,1200,0.9,56.0,1200,2.3,56.0,1400,6.0,57.0,1200,0.1,57.0,MVAL,3Y-SWP,MVAL,3YO-LR,EFRM,2YO-G2,DOOM,2YO-G2,I AM INVINCIBLE,ROYAL MISSILE,SMART MISSILE,ROSEHILL,,,6.00,21.00,11.00,15.00,Scratched,,,,,,,,,,,,,0,0,0,0,0,0,0,1,3,0,1,2,56.5,,,,
RANDWICK INS,2,VALE BETTY LANE HOLLAND MDN PLATE,1300,"100,000",3Y-MSW,Claim,02.35 pm,25/10/2023,2,'  25,5,2,,,DOLZINO,,57.0,,,,2,0,1,0,50,,,,4900,21,0,0,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,6,5,3,3,5,5,,,ROBERT QUINN,3,G,,,F2,F2,0.91,1.01,1.05,A,na,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,34.0,14/09/23,,,,,34.0,14/09/23,,,,0,0,1,0,0,0,32.0,32.0,04/10/2023,5,33.5,34.0,14/09/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,2,25,4,8,36,5,29,115,0,0,0,1400,3.2,56.5,1300,1.3,56.5,,,,,,,RANI,3Y+MSW,KEMB,MAIDEN,,,,,PARIAH,CIAVENNA (IRE),CANFORD CLIFFS (IRE),WARWICK FARM,32.0,04/10/23,13.00,41.00,,,Scratched,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,2,,,,,
RANDWICK INS,2,VALE BETTY LANE HOLLAND MDN PLATE,1300,"100,000",3Y-MSW,Claim,02.35 pm,25/10/2023,3,'632x,2,3,6,,SLY BOOTS,5,57.0,4.20,96,91,3,0,2,0,67,eq,+ 3.0,dn,3850,155,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,3,5,0,3,4,2,13,G WATERHOUSE & A BOTT,3,G,Regan Bayliss,,M6,B6,1.04,0.89,0.98,A,A,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19/04/2023,24.5,29.0,,,,,,,,,36.5,04/05/23,,,36.5,04/05/23,36.5,04/05/23,,0,0,1,0,1,1,31.0,34.5,23/05/2023,2,32.5,36.5,04/05/2023,3,24.5,29.0,19/04/2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,47,305,40,68,448,0,1,1,111,128,540,348,507,1974,188,210,861,22,24,99,1400,0.1,57.0,1200,1.3,57.0,1200,5.1,56.5,,,,KEMB,2Y-MDN,WAGA,2YO,WFRM,2Y-MDN,,,TORONADO (IRE),MISS SOFTHANDS,BEL ESPRIT,RANDWICK,,,2.00,4.50,9.00,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,1,0,0,1,,,,,
