Meeting,Race Number,Race Name,Distance,Prize Money,Class,Apprentice Claim,Time,Date,Tab Number,Form,Last Finish pos,Last-1 Finish pos,Last-2 Finish pos,Last-3 Finish pos,Horse,BP,Weight,odds,Wrat,Trat,Starts,Wins,Places,win%,Place%,Class Change,Field Strength,Distance Change,Average Prizemoney,Days Since Last Start,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Distance Starts,Course/Dist Wins,Course/Dist Places,Course/Dist Starts,Firm Wins,Firm Places,Firm Starts,Good Wins,Good Places,Good Starts,Soft Wins,Soft Places,Soft Starts,Heavy Wins,Heavy Places,Heavy Starts,Wizard Panel,Timeform Panel,Best Form Panel,Recent Form Panel,Distance Panel,Class Panel,Concensus Panel,Concensus Points,Trainer, age,sex,Jockey,Allowance,Espd,Pace,Impact Form,Impact Fit,Impact Dist,ATPG Age,ATPG Trainer,RFS,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,5Up Wins,5Up Places,5Up Starts,6Up Wins,6Up Places,6Up Starts,7+Up Wins,7+Up Places,7+Up Starts,Cur RFS Wins,Cur RFS Places,Cur RFS Starts,Cur RFS Date1,Cur RFS Base1,Cur RFS WFA1,Cur RFS Date2,Cur RFS Base2,Cur RFS WFA2,Cur RFS Date3,Cur RFS Base3,Cur RFS WFA3,Cur Peak,Cur Peak Date,Last Peak,Last Peak Date,Prev Peak,Prev Peak Date,Dist Peak,Dist Peak Date,Wet Peak,Wet Peak Date,Win Distances,Sim Company Wins,Sim Company Places,Sim Company Starts,Strong Company Wins,Strong Company Places,Strong Company Starts,Last Base Rating,Last WFA Rating,Last Date,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Date,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Date,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Date,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Date,Last-4 Finish Pos,Last-5 Base Rating,Last-5 WFA Rating,Last-5 Date,Last-5 Finish Pos,Last-6 Base Rating,Last-6 WFA Rating,Last-6 Date,Last-6 Finish Pos,Last-7 Base Rating,Last-7 WFA Rating,Last-7 Date,Last-7 Finish Pos,Last Win Base Rating,Last Win WFA Rating,Last Win Date,Last Win-1 Base Rating,Last Win-1 WFA Rating,Last Win-1 Date,Last Win-2 Base Rating,Last Win-2 WFA Rating,Last Win-2 Date,Last Win-3 Base Rating,Last Win-3 WFA Rating,Last Win-3 Date,Last Win-4 Base Rating,Last Win-4 WFA Rating,Last Win-4 Date,Last Win-5 Base Rating,Last Win-5 WFA Rating,Last Win-5 Date,Joc Loc12m Wins,Joc Loc12m Places,Joc Loc12m Starts,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Joc/Horse Wins,Joc/Horse Places,Joc/Horse Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Places,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Last Crse,Last Class,Last-1 Crse,Last-1 Class,Last-2 Crse,Last-2 Class,Last-3 Crse,Last-3 Class,Sire,Dam,G Sire,Trainer Location,Course Peak,Course Peak Date,Last SP,Last-1 SP,Last-2 SP,Last-3 SP,Scratched,Last Win Date.1,Last Win Days,Last-1 Win Date,Last-1 WinDays,Last-2 Win Date,Last-2 Win Days,Last-3 Win Date,Last-3 WinDays,Last-4 Win Date,Last-4 Win Days,Last-5 Win Date,Last-5 WinDays,1Fav Wins,1Fav Places,1Fav Starts,2Fav Wins,2Fav Places,2Fav Starts,3-5Fav Wins,3-5Fav Places,3-5Fav Starts,6+Fav Wins,6+Fav Places,6+Fav Starts,Last-4 Weight,Last-5 Weight,Last-6 Weight,Last-7 Weight,Unnamed: 253
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,1,'x0x5,5.0,0.0,,,WHOPPER'S,4.0,60.0,7.0,87.0,90.0,30,4,4,13.0,13.0,dn,- 5.0,up,1079,15,0,0,1,2,2,13,0,0,1,0,0,0,0,1,14,1,0,4,3,3,12,5,5,2,2,5,10,2.0,8.0,K T MYERS,7,G,S. J. Macnab,a2.0,G2,O3,na,na,na,na,B,2.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,9.0,1.0,0.0,3.0,18/04/2018,17.5,17.5,05/05/2017,33.0,33.0,08/06/2016,19.0,19.5,35.0,26/04/19,23.5,05/10/18,38.0,17/06/18,30.0,28/07/18,38.0,17/06/18,1600 (2) 2000 2200,0.0,0.0,0.0,3.0,2.0,16.0,35.0,35.0,26/04/2019,5.0,23.5,23.5,05/10/2018,14.0,30.0,30.0,28/07/2018,8.0,8.5,8.5,11/07/2018,10.0,38.0,38.0,17/06/2018,2.0,30.0,30.0,23/05/2018,1.0,27.0,27.0,04/05/2018,9.0,17.5,17.5,18/04/2018,7.0,35.0,35.0,08/09/2017,31.5,31.5,31/05/2017,33.0,33.0,05/05/2017,,,,,,,,,,4,11,76,14,37,210,0,0,0,17,36,167,91,175,760,52,127,549,14,22,89,1950.0,2.2,54.0,1600.0,11.0,58.0,2200.0,9.6,53.0,2000.0,29.0,57.0,WAE ,BM-82,TAUR,BM-72,ARP ,OPEN,AVD ,BM-75,ANY SUGGESTION,MARINA (NZ),WHARF (USA),WANGANUI,30.0,28/07/18,7NZ,14NZ,12NZ,5NZ,,23/05/18,19,08/09/17,13,31/05/17,26,05/05/17,26,,,,,2.0,1.0,7.0,0.0,1.0,5.0,0.0,1.0,9.0,2.0,1.0,9.0,56.0,66.0,59.5,60.0,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,2,'8282,2.0,8.0,2.0,8.0,NORDIC,5.0,59.0,3.5,100.0,100.0,7,1,4,14.0,57.0,eq,+ 2.5,eq,2607,19,0,1,1,0,1,2,0,1,1,0,0,0,1,3,6,0,0,0,0,1,1,1,2,6,3,7,3,1.0,11.0,M BAKER & A FORSMAN,3,G,J. K. Riddell,,S8,O5,na,na,na,na,A,8.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,36.0,15/03/19,,,,,35.0,30/03/19,29.5,22/04/19,1600,0.0,1.0,1.0,0.0,1.0,3.0,29.5,29.5,22/04/2019,2.0,34.5,35.0,30/03/2019,8.0,35.5,36.0,15/03/2019,2.0,30.0,30.5,02/03/2019,8.0,32.5,33.5,20/02/2019,1.0,33.0,34.5,06/02/2019,2.0,29.0,31.0,20/01/2019,2.0,,,,,,,,,,,,,,,,,,,,,,,22,38,175,52,95,417,1,0,1,51,95,349,166,229,883,132,214,833,23,36,128,2200.0,4.5,58.0,2000.0,5.1,56.5,1600.0,0.3,57.5,1600.0,4.8,58.5,ARP ,BM-65,AWAP,3Y-GP3,TE A,3Y-SWP,ELLS,BM-65,OCEAN PARK (NZ),QUEEN CHA CHA (NZ),HIGH CHAPARRAL (IRE),CAMBRIDGE,29.5,22/04/19,1NZ,3NZ,2NZ,1NZ,,20/02/19,14,,,,,,,,,,,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,58.0,58.0,57.0,,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,3,'45x6,6.0,5.0,4.0,,REVOLUTION,6.0,59.0,5.5,92.0,92.0,21,2,2,10.0,10.0,eq,+12.5,up,1012,29,0,0,1,2,1,8,0,0,0,0,0,0,0,0,5,1,1,8,1,1,8,3,3,4,10,3,9,3.0,8.0,P NELSON & C MCDOUGAL,8,G,C. J. Grylls,,F2,F1,na,na,na,na,na,2.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,03/06/2018,8.5,8.5,31/07/2017,25.5,25.5,09/10/2014,16.0,19.0,26.5,12/04/19,36.0,22/09/18,31.0,31/08/17,36.0,22/09/18,34.5,01/09/18,2060 2100,0.0,0.0,1.0,1.0,1.0,10.0,26.5,26.5,12/04/2019,6.0,19.0,19.0,30/09/2018,5.0,36.0,36.0,22/09/2018,4.0,34.5,34.5,01/09/2018,2.0,31.0,31.0,19/08/2018,1.0,8.0,8.0,26/07/2018,7.0,8.5,8.5,03/06/2018,14.0,8.5,8.5,03/05/2018,10.0,31.0,31.0,31/08/2017,,,,,,,,,,,,,,,,12,15,78,30,49,240,0,0,0,0,0,4,0,0,2,0,1,5,0,0,0,1950.0,6.7,69.5,3100.0,8.0,68.0,2100.0,1.0,56.0,2000.0,0.8,58.5,ARP ,BM-65,TE A,M-HDLE,HAST,BM-72,HAST,BM-65,GUILLOTINE (NZ),KETTLE HILL (NZ),GOLD BROSE,HASTINGS,26.5,12/04/19,3NZ,1NZ,7NZ,6NZ,,19/08/18,24,31/08/17,7,,,,,,,,,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,9.0,54.0,68.0,69.0,57.5,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,4,'00x8,8.0,0.0,0.0,,MOTUMAN,2.0,58.5,41.0,69.0,66.0,19,2,3,11.0,16.0,dn,+ 1.5,up,1358,19,2,1,6,1,1,6,1,0,1,0,0,0,0,1,7,0,0,3,2,2,9,12,12,13,13,2,13,,,W T CARTER,6,G,T. L. Newman,a3.0,F1,F1,na,na,na,na,na,2.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,19/10/2018,10.0,10.0,02/01/2017,27.0,29.0,13/07/2016,30.0,34.5,18.5,22/04/19,25.5,31/10/18,37.0,15/04/17,37.0,15/04/17,37.0,15/04/17,1950 2200,1.0,0.0,1.0,0.0,1.0,8.0,18.5,18.5,22/04/2019,8.0,25.5,25.5,31/10/2018,10.0,10.0,10.0,19/10/2018,11.0,10.0,10.0,13/10/2018,15.0,23.0,23.5,24/06/2017,8.0,35.5,36.5,21/05/2017,1.0,36.0,37.0,15/04/2017,2.0,32.5,34.0,31/03/2017,1.0,,,,,,,,,,,,,,,,,,,3,9,44,11,18,120,0,0,0,0,0,2,3,4,18,0,0,4,0,0,0,1400.0,11.3,56.0,1580.0,6.2,56.5,2100.0,34.0,57.0,1600.0,25.0,57.5,ARP ,BM-82,TAW ,BM-65,TAUR,BM-72,MAT ,BM-72,MAN OF POWER,GO NELLA (NZ),LOWELL (USA),TAURANGA,36.5,21/05/17,9NZ,13NZ,11NZ,15NZ,,21/05/17,36,31/03/17,40,,,,,,,,,0.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,0.0,6.0,54.5,57.0,57.0,56.5,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,5,'4653,3.0,5.0,6.0,4.0,SCAGLIONI,7.0,58.5,9.0,83.0,83.0,16,1,3,6.0,19.0,eq,+ 2.5,eq,949,19,0,1,1,0,1,2,0,1,1,0,0,0,1,2,15,0,0,0,0,1,1,6,6,5,5,11,4,,,TARISSA MITCHELL,6,G,D. A. Mansour,,S9,M6,na,na,na,na,na,11.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,,,,,,,,,,34.5,29/11/18,34.0,25/01/17,18.5,26/11/15,28.0,16/02/19,24.0,22/04/19,1200,0.0,1.0,1.0,0.0,2.0,11.0,24.0,24.0,22/04/2019,3.0,30.5,30.5,06/04/2019,5.0,28.5,28.5,23/03/2019,6.0,31.5,31.5,13/03/2019,4.0,28.0,28.0,16/02/2019,12.0,32.5,32.5,25/01/2019,5.0,33.0,33.0,18/01/2019,2.0,31.0,31.0,01/01/2019,13.0,32.0,34.0,25/01/2017,,,,,,,,,,,,,,,,9,14,56,16,32,140,0,0,0,2,3,18,2,3,19,5,11,61,0,0,1,2200.0,6.0,55.5,1600.0,2.5,57.0,1600.0,4.3,56.0,1400.0,1.3,56.0,ARP ,BM-65,TE A,BM-65,TAUR,BM-65,MAT ,BM-65,NICCONI,MOSSCEDES,MOSSMAN,CAMBRIDGE,24.0,22/04/19,6NZ,5NZ,5NZ,7NZ,,25/01/17,27,,,,,,,,,,,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,6.0,59.5,56.0,55.5,55.5,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,6,'7x98,8.0,9.0,7.0,,FLOURISHING,11.0,58.0,12.0,79.0,81.0,11,2,3,18.0,27.0,dn,- 2.0,up,1541,16,0,0,0,1,0,2,0,0,0,0,0,0,1,2,9,1,1,2,0,0,0,7,7,7,6,4,5,,,S RAMSAY & J RITCHIE,4,M,R. T. Elliot,a0.0,M5,O4,na,na,na,na,B,3.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11/11/2018,32.5,34.5,25/01/2018,32.5,39.0,,,,33.0,07/04/19,38.5,07/12/18,39.0,25/01/18,38.5,07/12/18,38.5,07/12/18,1600 2000,0.0,1.0,1.0,1.0,1.0,7.0,30.0,30.0,25/04/2019,8.0,33.0,33.0,07/04/2019,9.0,31.5,33.0,29/12/2018,7.0,37.0,38.5,07/12/2018,1.0,32.5,34.5,11/11/2018,2.0,30.5,32.5,17/10/2018,5.0,34.5,37.0,12/09/2018,3.0,27.5,32.5,14/03/2018,7.0,32.5,39.0,25/01/2018,,,,,,,,,,,,,,,,28,54,230,59,128,644,0,0,2,2,8,24,15,30,99,12,23,94,0,1,4,1600.0,6.5,55.5,1600.0,4.3,55.0,2000.0,5.8,55.5,2000.0,2.5,57.0,AWAP,BM-72,PUK ,BM-72,MAT ,BM-72,MAT ,BM-65,MAKFI (GB),LAFLEUR (NZ),ZABEEL (NZ),MAUNGATAUTARI,,,4NZ,10NZ,4NZ,1NZ,,07/12/18,26,25/01/18,29,,,,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,56.5,56.5,58.5,56.5,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,7,'3226,6.0,2.0,2.0,3.0,KATIEM MARIE,,58.0,,,,38,4,14,11.0,37.0,,,,1670,2,0,0,0,4,10,28,0,0,0,0,0,0,4,10,27,0,3,10,0,1,1,2,1,3,4,6,2,,,K T MYERS,6,M,,,S8,B6,na,na,na,na,C,19.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,10.0,19.0,0.0,0.0,0.0,,,,,,,,,,35.0,01/03/19,37.0,25/02/18,31.0,19/02/17,37.0,25/02/18,33.0,15/01/19,2000 (3) 2100,0.0,0.0,1.0,3.0,14.0,33.0,24.0,24.0,09/05/2019,6.0,30.5,30.5,28/04/2019,2.0,32.0,32.0,26/04/2019,2.0,31.5,31.5,24/03/2019,3.0,32.5,32.5,09/03/2019,3.0,35.0,35.0,01/03/2019,2.0,33.0,33.0,17/02/2019,3.0,33.5,33.5,08/02/2019,3.0,32.5,32.5,06/01/2019,37.0,37.0,25/02/2018,35.0,35.0,18/11/2017,28.0,30.0,05/01/2017,,,,,,,0,0,0,0,0,0,0,0,0,17,36,167,91,175,760,52,127,549,0,0,0,2200.0,7.3,67.0,1950.0,3.8,56.0,1950.0,2.0,56.0,2050.0,2.4,56.0,WDVL,BM-65,WAE ,BM-65,WAE ,BM-65,THK ,BM-65,SAVABEEL,YANNA MARIE (NZ),LORD BALLINA,AWAPUNI,,,1NZ,2NZ,1NZ,2NZ,Scratched,06/01/19,29,25/02/18,9,18/11/17,3,05/01/17,5,,,,,1.0,5.0,8.0,2.0,6.0,11.0,1.0,3.0,12.0,0.0,0.0,7.0,56.0,57.0,56.5,56.0,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,8,'3012,2.0,1.0,0.0,3.0,HATTIE BEE,,57.5,,,,13,1,4,8.0,31.0,,,,2112,14,1,0,1,0,3,4,0,0,0,0,0,0,0,4,11,1,0,2,0,0,0,4,4,1,1,1,1,,,E & D BROWNE,3,F,,,S7,B7,na,na,na,na,D,10.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,,,39.5,27/04/19,45.0,13/01/18,,,39.5,27/04/19,30.0,12/04/19,1950,0.0,0.0,0.0,0.0,2.0,7.0,39.5,39.5,27/04/2019,2.0,29.5,30.0,12/04/2019,1.0,15.0,15.5,07/04/2019,11.0,28.5,29.0,28/03/2019,3.0,26.0,26.5,01/03/2019,3.0,20.5,22.0,13/02/2019,8.0,16.5,19.0,03/01/2019,10.0,9.5,13.5,06/11/2018,16.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,7,28,11,24,74,11,15,92,0,0,0,2400.0,0.2,54.0,1950.0,0.2,66.0,2100.0,13.0,54.0,2100.0,0.5,54.5,TE R,BM-72,ARP ,3Y+MSW,PUK ,3Y-SWP,WPK ,3Y+MDN,BERNARDINI (USA),FLIGHTY,ZABEEL (NZ),CAMBRIDGE,30.0,12/04/19,7NZ,2NZ,7NZ,2NZ,Scratched,12/04/19,5,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,9.0,54.0,53.0,55.5,55.5,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,9,'120x,0.0,2.0,1.0,,NEK MINNIT,3.0,57.5,13.0,78.0,80.0,46,3,15,7.0,33.0,dn,+ 8.0,dn,1022,287,2,0,6,1,8,24,1,0,2,0,0,0,1,10,29,1,1,6,1,4,11,8,8,11,0,8,11,,,CRAIG & SHAUN PHELAN,9,G,J. Kamaruddin,a4.0,M6,O3,na,na,na,na,na,1.0,0.0,1.0,6.0,0.0,3.0,6.0,0.0,2.0,6.0,0.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,15.0,0.0,1.0,6.0,24/03/2018,21.5,21.5,08/10/2017,37.5,37.5,04/10/2015,36.0,36.0,,,31.5,06/07/18,37.5,08/10/17,23.5,21/11/17,37.5,08/10/17,1950 2200 3100,1.0,0.0,2.0,1.0,8.0,31.0,9.5,9.5,28/07/2018,10.0,31.0,31.0,18/07/2018,2.0,31.5,31.5,06/07/2018,1.0,25.0,25.0,24/06/2018,3.0,10.0,10.0,19/05/2018,9.0,8.5,8.5,05/05/2018,8.0,19.0,19.0,13/04/2018,10.0,21.5,21.5,24/03/2018,11.0,35.5,35.5,13/04/2016,34.5,34.5,27/12/2014,,,,,,,,,,,,,0,0,2,0,0,6,0,0,0,0,3,4,0,3,3,0,5,8,0,0,0,3000.0,19.5,65.0,3100.0,5.5,66.5,3100.0,1.3,68.0,3100.0,4.3,68.0,ARP ,R-HDLE,TE A,R-HDLE,TE A,M-HDLE,TE A,M-HDLE,ISTIDAAD (USA),WAITUI PEARL (NZ),ROYAL ACADEMY (USA),CAMBRIDGE,29.5,27/12/17,3NZ,2NZ,5NZ,3NZ,,06/07/18,12,13/04/16,11,27/12/14,17,,,,,,,1.0,2.0,5.0,1.0,4.0,15.0,1.0,8.0,17.0,0.0,1.0,9.0,68.0,65.0,68.0,57.0,
A PARK,1,ATKINSON & DONALDSON (BM65),2200,"22,500",BM-65,Claim,10.05 am,11/05/2019,10,'0667,7.0,6.0,6.0,0.0,GABRIEL,10.0,56.5,34.0,69.0,67.0,26,1,5,4.0,19.0,dn,- 2.0,eq,903,21,0,1,5,1,5,17,0,1,3,0,0,0,1,1,12,0,1,5,0,3,9,11,11,9,9,9,7,,,P G TUCKER,5,G,C. Dell,,M5,M4,na,na,na,na,na,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,1.0,07/03/2018,33.5,35.0,,,,,,,33.5,20/04/19,35.0,07/03/18,27.0,06/09/17,35.0,07/03/18,34.5,23/06/18,2000,0.0,1.0,3.0,0.0,2.0,13.0,33.5,33.5,20/04/2019,7.0,22.0,22.0,06/04/2019,6.0,30.5,30.5,16/03/2019,6.0,16.5,16.5,23/02/2019,14.0,30.5,30.5,03/02/2019,8.0,8.5,8.5,18/08/2018,8.0,29.5,29.5,04/08/2018,7.0,31.5,32.0,28/07/2018,2.0,33.5,35.0,07/03/2018,,,,,,,,,,,,,,,,0,5,50,8,17,197,0,0,5,0,3,8,0,1,6,0,3,26,0,0,0,2200.0,2.7,54.0,2200.0,17.4,53.0,2100.0,4.3,57.0,1600.0,17.0,54.0,ELLS,BM-72,TE A,OPEN,TAUR,BM-65,MAT ,BM-82,MAN OF POWER,ANGEL BREEZE (NZ),CITY ON A HILL (USA),PUKEKOHE PARK,32.0,28/07/18,9NZ,6NZ,9NZ,14NZ,,07/03/18,7,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,4.0,16.0,54.0,55.5,56.0,56.0,
